,Müll,-2,rubbish,-2.1,Everything from here until liwc is added by George Paltoglou,N_lemma
402,Fehde*,-2.0,feud*,-2,,
403,heißläuf*,-2.0,fiery,-2,,
404,heisslaeuf*,-2.0,fiery,-2,,
405,jähzorn*,-3.0,fiery,-2,,
406,jaehzorn*,-3.0,fiery,-2,,
407,fiesta*,1.0,fiesta*,1,,
408,Kampf*,-3.0,fight*,-3,,
409,fein,2.0,fine,2,,A_lemma
410,feine*,2.0,fine,2,,
411,gefeuert,-3.0,fired,-3,,
412,schmeichel*,1.0,flatter*,1,,
413,flame,-3.0,flame,-3,,
414,geflame*,-3.0,flame,-3,,
415,einwandfrei*,2.0,flawless*,2,,
416,flexibel*,1.0,flexib*,1,,
417,flirt*,2.0,flirt*,2,,
418,durchfallen,-3.0,flunk*,-3,,V_lemma
419,durchgefall*,-3.0,flunk*,-3,,
420,Feind*,-3.0,foe*,-3,,
421,stolz,3.0,fond,3,,
422,liebevoll*,3.0,fondly,3,,
423,Vorliebe,3.0,fondness,3,,
424,Narr*,-2.0,fool*,-2,,
425,verbieten,-1.0,forbid*,-1,,V_lemma
426,verboten*,-1.0,forbid*,-1,,
427,vergeb*,2.0,forgave,2,,
428,kämpft*,-3.0,fought,-3,,
429,kaempft*,-3.0,fought,-3,,
430,panisch*,-1.0,frantic*,-1,,
431,Freak*,-2.0,freak*,-2,,
432,frei*,2.0,free,2,,
433,gratis,2.0,free,2,,A_lemma
434,kostenlos,2.0,free,2,,A_lemma
435,Freih*,2.0,free*,2,,
436,befrei*,2.0,freed*,2,,
437,freier,2.0,freer,2,,
438,befreit*,2.0,frees*,2,,
439,Freund*,2.0,friend*,2,,
440,freundl*,2.0,friend*,2,,
441,Schreck*,-2.0,fright*,-4 : deutsch: -2,,
442,schreckhaf*,-2.0,fright*,-4,,
443,schrecklich*,-2.0,fright*,-4,,
444,frustrie*,-3.0,frustrat*,-3,,
445,fuck,-3.0,fuck,-3,,
446,fick*,-3.0,fuck,-3,,
447,gefickt*,-3.0,fucked*,-3,,
448,Ficker*,-3.0,fucker*,-3,,
449,fuckin*,-3.0,fuckin*,-3,,
450,fud,-3.0,fud,-3,fear uncertainty and doubt,
451,Rauch*,-3.0,fume*,-3,,
452,rauchend*,-4.0,fuming,-4,,
453,fun,2.0,fun,2,,
454,Spaß,2.0,fun,2,,N_lemma
455,Spass,2.0,fun,2,,
456,lustig*,2.0,funn*,2,,
457,wütend*,-4.0,furious*,-4,,
458,wuetend*,-4.0,furious*,-4,,
459,Wut,-4.0,fury,-4,,N_lemma
460,schwul*,-2.0,gay,-2,common in US as term of abuse,
461,schwucht*,-2.0,gay,-2,common in US as term of abuse,
462,geek*,-1.0,geek*,-1,,
463,genero*,2.0,genero*,2,,
464,größzüg*,2.0,genero*,2,,
465,groesszueg*,2.0,genero*,2,,
466,sanft*,2.0,gentle,2,,
467,sanfter*,3.0,gentler,3,,
468,sanfteste*,3.0,gentlest,3,,
469,sanft,2.0,gently,2,,
470,giggl*,3.0,giggl*,3,,
471,kicher*,3.0,giggl*,3,,
472,Kichererbs*,1.0,giggl*,3,blocker,
473,Geber*,2.0,giver*,2,,
474,gibt,2.0,giving,2,,
475,froh*,2.0,glad,2,,
476,gern,2.0,gladly,2,,A_lemma
477,Glamour*,2.0,glamor*,2,,
478,Glamour*,2.0,glamour*,2,,
479,Düsternis*,-3.0,gloom*,-3,,
480,Duesternis*,-3.0,gloom*,-3,,
481,düster*,-3.0,gloom*,,,
482,duester*,-3.0,gloom*,,,
483,Glori*,2.0,glori*,2,,
484,Glory,2.0,glory,2,,
485,gmbo,3.0,gmbo,3,giggling my butt off,
486,gottverdammte*,-3.0,goddam*,-3,,
487,gut,2.0,good,2,Could also be 1?,
488,Güte,2.0,goodness,2,,
489,Guete,2.0,goodness,2,,
490,großartig*,3.0,gorgeous*,3,,
491,grossartig*,3.0,gorgeous*,3,,
492,Klatsch*,-1.0,gossip*,-1,,
493,Grace,3.0,grace,3,,
494,begnadet,3.0,graced,3,,
495,anmutig*,3.0,graceful*,3,,
496,Grand,2.0,grand,2,,
497,grandios*,2.0,grand,2,,
498,dankbar*,2.0,gratef*,2,,
499,Grab,-3.0,grave*,-3,,
500,Grabesstimm*,-3.0,grave*,-3,,
501,Friedhof,-2.0,grave*,,,
502,großartig*,2.0,great,2,,
503,grossartig*,2.0,great,2,,
504,Gier*,-3.0,greed*,-3,,
505,Trauer*,-4.0,grief,-4,,
506,griev*,-4.0,griev*,-4,,
507,grimmig,-3.0,grim*,-3,,
508,Grinsen,2.0,grin,2,,
509,Brutto*,-2.0,gross*,-2,,
510,Griesgram*,-2.0,grouch*,-2,,
511,grantig*,-2.0,grouch*,-2,,
512,grr*,-3.0,grr*,-3,,
513,Schuld*,-4.0,guilt*,-4,,
514,ha,2.0,ha,2,,
515,haha*,3.0,haha*,3,,
516,attraktiv*,2.0,handsom*,2,,
517,Happi*,3.0,happi*,3,,
518,Happy,3.0,happy,3,,
519,belästigen*,-3.0,harass*,-3,,
520,belaestigen*,-3.0,harass*,-3,,
521,Schaden,-3.0,harm,-3,,N_lemma
522,schaden,-3.0,harmed,-3,,V_lemma
523,schädlich*,-2.0,harmful*,-2,,
524,schaedlich*,-2.0,harmful*,-2,,
525,schaden,-3.0,harming,-3,,
526,harmlos*,2.0,harmless*,2,,
527,harmonisch*,2.0,harmon*,2,,
528,Harmonie,2.0,harmon*,2,,
529,schadet,-3.0,harms,-3,,
530,Hass,-4.0,hate,-4,,
531,gehasst,-4.0,hated,-4,,
532,hasserfüllt*,-4.0,hateful*,-4,,
533,hasserfuellt*,-4.0,hateful*,-4,,
534,Hasser*,-4.0,hater*,-4,,
535,hasst,-4.0,hates,-4,,
536,Hassen,-4.0,hating,-4,,
537,Hass,-4.0,hatred,-4,,
538,Herzschmerz*,-4.0,heartbreak*,-4,,
539,Heartbroke*,-4.0,heartbroke*,-4,,
540,herzlichen,2.0,heartfelt,2,,
541,herzlos*,-3.0,heartless*,-3,,
542,warmherzig,3.0,heartwarm*,,,
543,heartwarm*,3.0,heartwarm*,3,,
544,himmlisch*,2.0,heaven*,2,,
545,Himmel*,2.0,heaven*,2,,
546,hektisch*,-2.0,hectic,-2,this year has been hectic,
547,Hektik,-2.0,hectic,-2,this year has been hectic,
548,heh*,3.0,heh*,3,,
549,Hölle,-3.0,hell,-3,,
550,Hoelle,-3.0,hell,-3,,
551,höllisch*,-3.0,hellish,-3,,
552,hoellisch*,-3.0,hellish,-3,,
553,Helfer*,2.0,helper*,2,,
554,hilfreich*,2.0,helpful*,2,,
555,hilfsbereit*,2.0,helpful*,2,,
556,Hilfe,2.0,helping,2,,
557,hilflos*,-2.0,helpless*,-2,,
558,hilft,2.0,helps,2,,
559,Held*,3.0,hero*,3,,
560,zögern,-1.0,hesita*,-1,,V_lemma
561,zögerlich,-1.0,hesita*,-1,,A_lemma
562,zoeger*,-1.0,hesita*,-1,,
563,urkomisch*,3.0,hilarious,3,,
564,hoho*,3.0,hoho*,3,,
565,Heimweh*,-3.0,homesick*,-3,,
566,ehrlich*,1.0,honest*,1,,
567,Ehre*,1.0,honour*,1,,
568,Hoffnung,2.0,hope,2,,
569,hoffte,2.0,hoped,2,,
