Beleidigung*	-3	insult*	-3		
intelligent*	2	intell*	2		
Interess*	2	interest*	2		
Unterbrechung*	-2	interrup*	-2		
irrational*	-3	irrational*	-3		
Irritation*	-3	irrita*	-3		
Isolati*	-2	isolat*	-2		
vereinsam*	-4	isolat*	-2		
abgestumpft*	-3	jaded	-3 ???		
eifersüchtig*	-3	jealous*	-3		
eifersuechtig*	-3	jealous*	-3		
Eifersucht	-3	jealous*	-3		N_lemma
Riß	-3	jerk	-3 ???		N_lemma
Riss	-3	jerk	-3 ???		N_lemma
zucken	-1	jerked	-1 ???		V_lemma
zuckt	-3	jerks	-3		V_ff
Scherz*	2	joke*	2		
Scherzbold*	-2	joke*	2		
Witzbold*	-2	joke*	2		
Witze	3	joking	3		N_ff
ein_Witz	-2	joking	3 blocker: das ist ja ein Witz		
fröhlich*	3	joll*	3		
froehlich*	3	joll*	3		
Freude*	3	joy*	3		
begierig*	1	keen*	1 ???		
scherz*	2	kidding		1	
zu_Scherzen	-2	kidding	1 beliebt zu scherzen zu scherzen aufgelegt		
töten*	-4	kill*	-4		
toeten*	-4	kill*	-4		
freundlich*	3	kind	3		
freundlicherweise	2	kindly	2		
kindn*	2	kindness*	2 ???		
Kuss*	3	kiss*	3		
Küßchen	3	kiss*	3		
Kuesschen	3	kiss*	3		
entspannt*	2	laidback	2		
chillig*	2	laidback	2		
relax*	2	laidback	2		
lahm*	-3	lame*	-3		
lachen*	3	laugh*	3		
lacht*	3	laugh*	3		
auslachen	-3	laugh*	3		
ausgelach*	-3	laugh*	3		
faul*	-2	lazy	-2		
stinkfaul*	-3	lazy	-2		
liabilit*	-3	liabilit*	-3		
Lügner*	-3	liar*	-3		
Luegner*	-3	liar*	-3		
Libert*	2	libert*	2		
Freiheit*	2	libert*	2		
Befreiung*	2	libert*	2		
gelogen	-3	lied	-3		
anlügen*	-3	lied	-3		
anluegen*	-3	lied	-3		
angelogen	-3	lied	-3		
Lügen*	-3	lies	-3		
lügen	-3	lies	-3		V_lemma
lüg*	-3	lies	-3		
lueg*	-3	lies	-3		
liebenswert*	3	likeab*	3		
liebenswürdig*	3	likeab*	3		
liebenswuerdig*	3	likeab*	3		
mögen	3				V_lemma
mochte	3	liked	3		V_ff
mag	3	liked	3		V_ff
Vorliebe	3	liking	3		N_lemma
lebhaft*	2	livel*	2		
lol	3	lol	3		
Einzelkämpfer*	-2	lone*	-2		
Einzelkaempfer*	-2	lone*	-2		
einsam*	-2	lone*	-2		
Heimweh	-3	longing*	-3		N_lemma
Sehnsucht*	-3	longing*	-3		
verlier*	-2	lose	-2		
Verlierer*	-3	loser*	-3		
Verlust*	-3	loss*	-3		
verloren*	-1	lost	-1		
lausig*	-3				
mangelhaft*	-3	lous*	-3	NEU	
minderwert*	-3	lous*	-3	NEU	
falsch*	-3	lous*	-3	NEU	
Falschheit	-3	| NEU			N_lemma
Hinterlist*	-3	 NEU			
Verlogenheit	-3	 NEU			
tückisch*	-3	 NEU			
tueckisch*	-3	 NEU			
Tücke*	-3	 NEU			
Tuecke*	-3	 NEU			
heimtückisch*	-3	 NEU			
heimtueckisch*	-3	 NEU			
Heimtücke*	-3	 NEU			
Heimtuecke*	-3	 NEU			
Liebe	3	love	3		N_lemma
niedrig	-2	low*	-2		A_lemma
niedrig*	-2	low*	-2		
loyal*	2	loyal*	2		
lojal*	2	loyal*	2		
Glück	3	luck	3		N_lemma
Glueck	3	luck	3		
Glücks*	3	luck	3  ...pilz ...gefühl ...keks ...spiel		
Gluecks*	3	luck	3  ...pilz ...gefuehl ...keks ...spiel		
Glücksspiel*	-1	luck	3  // blocker		
Gluecksspiel*	-1	luck	3  // blocker		
Lotterie*	-1	luck	3  // blocker		
Engel*	2	luck	3  // blocker		
glücklos*	-3	luckless*	-3		
gluecklos*	-3	luckless*	-3		
lächerlich*	-3	ludicrous*	-3		
laecherlich*	-3	ludicrous*	-3		
Lüge	-4	lying	-4		N_lemma
Luege	-4	lying	-4		
lügen	-4	lying	-4		V_lemma
lueg*	-4	lying	-4		
gelog*	-4	lying	-4		
verlog*	-4	lying	-4		
teppert*	-3	mad	-3		
deppert*	-3	mad	-3		
depp*	-4	mad	-3		
verrückt*	-3	maddening	-3		
verrueckt*	-3	maddening	-3		
Krapp	-3	madder	-3 ???		
#wahnsinnigst*	-3	maddest	-3		
verrücktest*	-3	maddest	-3		
verruecktest*	-3	maddest	-3		
#wahnsinnig*	2	madly	2		
grossartig*	4	magnific*	4		
Maniac*	-3	maniac*	-3		
masochis*	-3	masochis*	-3		
masochis*	-3	masochis*	-3		
melanchol*	-4	melanchol*	-4		
melancholisch*	-4	melanchol*	-4		
Melancholie*	-4	melanchol*	-4		
verdiensvoll*	2	merit*	2		
Verdienstentgang*	-2	XXXmerit*	2		
Chaos	-1	mess	-1		
chaotisch*	-1	mess	-1		
chaot*	-1	mess	-1		
unordentlich*	-1	messy	-1		
schlampig*	-1	messy	-1		
schludrig*	-1	messy	-1		
Geizhals	-3	miser*	-3  *** miserable 		
Geitler*	-3	miser*	-3  *** miserable 		
miserabel	-3	miser*	-3  *** miserable 		
miserab*	-3	miser*			
Geizhals	-3	miser*	-3		
Verpass*	-3	miss	-3		
vermissen	-3	miss	-3		V_lemma
fehlt	-2	missing	-2		V_ff
fehlerhaft*	-2	mistak*	-2		
Fehler*	-2	mistak*	-2		
mockieren	-2	mock	-3		V_lemma
mockier*	-2	mock	-3		
aufreg*	-2	mock	-3		
verspotte*	-3	mocked	-3		
ausspotte*	-3	mocked	-3		
ausgespotte*	-3	mocked	-3		
Spötter*	-2	mocker*	-3		
Spoetter*	-2	mocker*	-3		
spöttisch*	-2	mocking	-3		
spoettisch*	-2	mocking	-3		
spotten	-3	mocks	-3		V_lemma
spöttel*	-2	mocker*	-3		
spoettel*	-2	mocker*	-3		
belästig*	-4	molest*	-4		
belaestig*	-4	molest*	-4		
mooch*	-2	mooch*	-2		
launisch*	-3	moodi*	-3		
Moody	-3	moody	-3		
schwachsinn*	-3	moron*	-3 // NONEG		
geistesschwach*	-3	moron*	-3		
geistesgestö*	-3	moron*	-3		
geistesgestoe*	-3	moron*	-3		
hirni*	-3	moron*	-3		
hirnrissi*	-4	moron*	-3 // NONEG		
trauern	-3	mourn*	-3		V_lemma
trauer*	-3	mourn*	-3		
muah	2	muah	2		
bruha*	-2	muah	2  // bruhaha		
Mord*	-4	murder*	-4		
mörder*	-4	murder*	-4		
moerder*	-4	murder*	-4		
